espn_id,barttorvik_name,match_method
AAMU,Alabama A&M,manual
ACU,Abilene Christian,manual
AF,Air Force,manual
AKR,Akron,manual
ALA,Alabama,manual
ALCN,Alcorn St.,automatic
ALST,Alabama St.,automatic
AMCC,Texas,automatic
AMER,American,manual
APP,Appalachian St.,manual
APSU,Austin Peay,manual
ARIZ,Arizona,automatic
ARK,Arkansas,automatic
ARMY,Army,automatic
ARST,Arkansas St.,automatic
ASU,Arizona St.,manual
AUB,Auburn,automatic
BALL,Ball St.,automatic
BAY,Baylor,automatic
BC,Boston College,automatic
BCU,Bethune Cookman,manual
BEL,Belmont,automatic
BELL,Bellarmine,automatic
BGSU,Bowling Green,automatic
BING,Binghamton,automatic
BOIS,Boise St.,automatic
BRAD,Bradley,automatic
BRWN,Brown,manual
BRY,Bryant,automatic
BU,Boston University,automatic
BUCK,Bucknell,automatic
BUF,Buffalo,automatic
BUT,Butler,automatic
BYU,BYU,automatic
CAL,California,automatic
CAM,Campbell,manual
CAN,Canisius,automatic
CARK,Central Arkansas,automatic
CBU,California,automatic
CCSU,Central Connecticut,automatic
CCU,Coastal Carolina,automatic
CHSO,Charleston Southern,manual
CHST,Chicago St.,automatic
CIN,Cincinnati,automatic
CIT,The Citadel,automatic
CLE,Cleveland St.,manual
CLEM,Clemson,automatic
CLT,Charlotte,automatic
CMU,Central Michigan,automatic
COFC,Charleston,automatic
COLG,Colgate,automatic
COLO,Colorado,automatic
COLU,Columbia,automatic
CONN,Connecticut,manual
COPP,Coppin St.,manual
COR,Cornell,automatic
CP,Cal Poly,automatic
CREI,Creighton,automatic
CSU,Colorado St.,automatic
CSUB,Cal St. Bakersfield,automatic
CSUF,Cal St. Fullerton,automatic
CSUN,Cal St. Northridge,automatic
DART,Dartmouth,automatic
DAV,Davidson,automatic
DAY,Dayton,automatic
DEL,Delaware,automatic
DEN,Denver,automatic
DEP,DePaul,automatic
DETM,Detroit Mercy,automatic
DREX,Drexel,automatic
DRKE,Drake,automatic
DSU,Delaware St.,automatic
DUKE,Duke,automatic
DUQ,Duquesne,automatic
ECU,East Carolina,automatic
EIU,Eastern Illinois,automatic
EKU,Eastern Kentucky,automatic
ELON,Elon,automatic
EMU,Eastern Michigan,automatic
ETAM,East Texas A&M,manual
ETSU,East Tennessee St.,automatic
EVAN,Evansville,automatic
EWU,Eastern Washington,automatic
FAIR,Fairfield,automatic
FAMU,Florida A&M,automatic
FAU,Florida Atlantic,automatic
FDU,Fairleigh Dickinson,automatic
FGCU,Florida Gulf Coast,automatic
FIU,Florida,automatic
FLA,Florida,automatic
FOR,Fordham,automatic
FRES,Fresno St.,automatic
FSU,Florida St.,automatic
FUR,Furman,automatic
GASO,Georgia Southern,automatic
GAST,Georgia St.,automatic
GB,Green Bay,automatic
GCU,Grand Canyon,automatic
GMU,George Mason,automatic
GONZ,Gonzaga,automatic
GRAM,Grambling St.,manual
GT,Georgia Tech,automatic
GTWN,Georgetown,automatic
GW,George Washington,automatic
GWEB,Gardner Webb,manual
HALL,Seton Hall,automatic
HAMP,Hampton,automatic
HARV,Harvard,automatic
HAW,Hawaii,manual
HC,Holy Cross,automatic
HCU,Houston Christian,automatic
HOF,Hofstra,automatic
HOU,Houston,automatic
HOW,Howard,automatic
HPU,High Point,automatic
IDHO,Idaho,automatic
IDST,Idaho St.,automatic
ILL,Illinois,automatic
ILST,Illinois St.,automatic
INST,Indiana St.,automatic
IONA,Iona,automatic
IOWA,Iowa,automatic
ISU,Iowa St.,automatic
IU,Indiana,automatic
IUIN,IU Indy,manual
JAX,Jacksonville,automatic
JKST,Jackson St.,automatic
JMU,James Madison,automatic
JOES,Saint Joseph's,automatic
JXST,Jacksonville St.,automatic
KC,Kansas,automatic
KENN,Kennesaw St.,automatic
KENT,Kent St.,automatic
KSU,Kansas St.,automatic
KU,Kansas,automatic
L-MD,Loyola MD,manual
LAF,Lafayette,automatic
LAM,Lamar,automatic
LAS,La Salle,automatic
LBSU,Long Beach St.,automatic
LEH,Lehigh,automatic
LEM,Le Moyne,automatic
LIB,Liberty,automatic
LIP,Lipscomb,automatic
LIU,LIU,manual
LMU,Loyola Marymount,automatic
LONG,Longwood,automatic
LOU,Louisville,manual
LR,Little Rock,automatic
LSU,LSU,automatic
LT,Louisiana Tech,automatic
LUC,Loyola Chicago,automatic
M-OH,Miami OH,manual
MAN,Manhattan,manual
MARQ,Marquette,automatic
MASS,Massachusetts,automatic
MCN,McNeese St.,manual
MD,Maryland,automatic
ME,Maine,automatic
MEM,Memphis,automatic
MER,Mercer,automatic
MERC,Mercyhurst,automatic
MIA,Miami FL,manual
MICH,Michigan,automatic
MILW,Milwaukee,automatic
MINN,Minnesota,automatic
MISS,Mississippi,manual
MIZ,Missouri,automatic
MONM,Monmouth,automatic
MONT,Montana,automatic
MORE,Morehead St.,automatic
MORG,Morgan St.,automatic
MOST,Missouri St.,automatic
MRMK,Merrimack,automatic
MRSH,Marshall,automatic
MRST,Marist,automatic
MSM,Mount St. Mary's,automatic
MSST,Mississippi St.,automatic
MSU,Michigan St.,automatic
MTST,Montana St.,automatic
MTSU,Middle Tennessee,automatic
MUR,Murray St.,automatic
MVSU,Mississippi Valley St.,automatic
NAU,Northern Arizona,automatic
NAVY,Navy,automatic
NCAT,North Carolina A&T,automatic
